name,id,artists
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",4X5f3vT8MRuXF68pfjNte5,"['13ubrt8QOOCPljQ2FL1Kca', '3TVXtAsR1Inumwj472S9r4', '17lzZA2AlOHwCwFALHttmp', '2YZyLoL8N0Wb9xBt1NhZWg']"
Lemonade,1p0rEzrK7YtdRZVtiyV7RN,"['6MPCFvOQv5cIGfw3jODMF0', '2hlmm7s2ICUX0LVIhVFlZQ', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC']"
Un-thinkable (I'm Ready) (feat. Drake) - Remix,4o4wEDRqotccDTXiQ7TORu,"['3DiDSECUqqY1AuBP8qtaIa', '3TVXtAsR1Inumwj472S9r4']"
Mirror,5hUYsaOyMY32yjRXeuQwGj,"['55Aa2cqylxrFIXC767Z865', '0du5cEVh5yTK9QJze8zA0C']"
Please Me,1Ydy1j4ooUkDvQYSvwxjoy,"['4kYSro6naA4h99UJvo89HB', '0du5cEVh5yTK9QJze8zA0C']"
Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,"['699OTQXzgjhIYAHMy9RyPD', '4O15NlyKLIASxsJ0PrXPfz']"
Boy With Luv (feat. Halsey),4a9tbd947vo9K8Vti9JwcI,"['3Nrfpe0tUJi4K4DXYWgMUX', '26VFTg2z8YR0cCuwLzESi2']"
Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,"['5cj0lLjcoR7YOSnhnX0Po5', '13y7CgLHjMVRMDqxdx0Xdo']"
P power (feat. Drake),0lEjxUUlKqjqXrVlIHFduD,"['2hlmm7s2ICUX0LVIhVFlZQ', '3TVXtAsR1Inumwj472S9r4']"
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,"['20sxb77xiYeusSH8cVdatc', '3TVXtAsR1Inumwj472S9r4']"
I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,"['246dkjvS1zLTtiykXe5h60', '5cj0lLjcoR7YOSnhnX0Po5']"
Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,"['246dkjvS1zLTtiykXe5h60', '50co4Is1HCEo8bhOyUWKpn']"
Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,"['4MCBfE4596Uoi2O4DtmEMz', '64KEffDW9EtZ1y2vBYgq8T']"
LOYALTY. FEAT. RIHANNA.,6SwRhMLwNqEi6alNPVG00n,"['2YZyLoL8N0Wb9xBt1NhZWg', '5pKCCKE2ajJHZ9KAiaK11H']"
Pray For Me,6huNf4dutXRjJyGn7f5BPS,"['1Xyo4u8uXC1ZmMpatF05PJ', '2YZyLoL8N0Wb9xBt1NhZWg']"
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,"['4xRYI6VqpkE3UwrDrAZL8L', '6LuN9FCkKOj5PcnpouEgny']"
Wolves,0tBbt8CrmxbjRP0pueQkyU,"['0C8ZW7ezQVs4URX5aX7Kqx', '64KEffDW9EtZ1y2vBYgq8T']"
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,"['246dkjvS1zLTtiykXe5h60', '7c0XG5cIJTrrAgEC3ULPiq']"
Nightcrawler (feat. Swae Lee & Chief Keef),3xby7fOyqmeON8jsnom0AT,"['0Y5tJX1MQlPlqiwlOH1tJY', '15iVAtD3s3FsQR4w1v6M0P']"
Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,"['0iEtIxbK0KxaSlF7G42ZOp', '2hlmm7s2ICUX0LVIhVFlZQ']"
Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,"['04gDigrS5kc9YWfZHwBETP', '181bsRPaVXVlUKXrxwZfHK']"
Who's That Chick? (feat. Rihanna),7e1h7rqNB0BBC2fUuWEEFe,"['1Cs0zKBU1kc0i8ypK3B9ai', '5pKCCKE2ajJHZ9KAiaK11H']"
TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,"['0Y5tJX1MQlPlqiwlOH1tJY', '7tYKF4w9nC0nq9CsPZTHyP', '1RyvyyTE3xzB2ZywiAwp0i']"
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0KoiMHhqKLoL4xM54rcWYY,"['540vIaP2JwjQb9dm3aArA4', '0C8ZW7ezQVs4URX5aX7Kqx', '4kYSro6naA4h99UJvo89HB']"
ExtraL (feat. Doechii),4EIFwndJvGpgFjsEbNuYif,"['250b0Wlc5Vk0CoUsaCY84M', '4E2rKHVDssGJm2SCDOMMJB']"
Stay Ready (What A Life),5nkUIVKqOqdpB6ApKgEMkv,"['5ZS223C6JyBfXasXxrRqOk', '2YZyLoL8N0Wb9xBt1NhZWg']"
My Universe,46HNZY1i7O6jwTA7Slo2PI,"['4gzpq5DPGxSnKTe4SA8HAU', '3Nrfpe0tUJi4K4DXYWgMUX']"
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,"['4r63FhuTkUYltbVAg5TQnk', '757aE44tKEUQEqRuT6GnEB']"
"Genius (feat. Sia, Diplo, and Labrinth)",4xigPf2sigSPmuFH3qCelB,"['5WUlDfRSoLAfcVSX1WnrxN', '5fMUXHkw8R8eOP2RNVYEZX']"
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,"['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']"
California Gurls,6tS3XVuOyu10897O3ae7bi,"['6jJ0s89eD6GaHleKKya26X', '7hJcb9fa4alzcOq3EaNPoG']"
